issue_id,source_table,record_id,field_name,issue_type,severity,issue_description
DQ-000041,products,fbd2a9aa1f115244e2ce115ad8eacfca,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000042,products,ab1741a86f20ab3aca7dd2c347d5a9e3,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000043,products,fa7fc74ae3858461908b3503b355fd5e,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000044,products,014fcf6bd5cd4c7ee29fb3bb618c445e,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000045,products,be59f0b9bd1d08d096188f98168fc987,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000046,products,9f6e8441548dd40516cdb98f1b29c3d5,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000047,products,d73f1e4ad0322d8442fc9591505381aa,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000048,products,0105b5323d24fc655f73052694dbbb3a,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000049,products,b17a4e7b997ea645dd323bb1bed802ac,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000050,products,8d39a63db6a98e40571f486e0c711cf7,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000051,products,1a1dba78177cbabf00a2e1eab46e62b6,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000052,products,3846c262ddb08db0ea2cc1a1685590ff,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000053,products,b3f3d2afe706552a90fd99f870e4ddf5,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000054,products,3e6092cf0f56b9c78bcbd539157b9f70,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000055,products,8d3367004d60f40855db4a5bbbabfdb6,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000056,products,09337f4d317bae01dfa96e6d368eafc4,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000057,products,645fd9f79f14fad6e8a79fbc94dae528,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000058,products,39fda099b9edc21f85a80d14021579b5,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000059,products,6ad6cc284cdcc1cdd2f06eef8d983913,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000060,products,40a1e3c65a0bcf6f4ebba840a8156ba2,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000061,products,a08ffa6ecdd0ab3c1f4fe348acc2553b,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000062,products,6fe7ef5f743e7b92a2c74264f40d0437,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000063,products,b607bf5bab84cb38111d2b6a10164385,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000064,products,d1802b79d2e79841cc2cadedd8d4e6a3,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000065,products,aaa391b7c35a628a6318851e8e933e0b,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000066,products,3d103df80d5d22d709244fe27bc29a8d,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000067,products,73df0070248804951b5c6ba9537c6fc3,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000068,products,fb09c649a144a9dfd4546612891e1f11,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000069,products,c7858457bc43561ccb96aaa2932cb085,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000070,products,e9cbc0910ab050cbd92fbeb051c270ea,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000071,products,0502d1a36be75bd36b452f31c6ed264a,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000072,products,bc0cf6f75f7db177ba3d47677f5e467f,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000073,products,8229dca25207625966da8cffda27446c,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000074,products,0a7a5763f6ee3b862ca27208f8fbbdb7,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000075,products,eef398550dd9575d23eb2d8be74bd45a,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000076,products,a61e6f38c9e407c7d764ea09d34b0a76,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000077,products,bf1ce2996ddec3052749c74b73b02b86,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000078,products,52a5346c9dae9cd560b103875b94d123,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000079,products,21e4321fa558327afe025bfb800a8bff,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000080,products,e49a57a6afd465b7d3cd109daf09ca98,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000081,products,e64befe356dccc6ed0073c124147269f,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000082,products,b02a3f9824b29932f36a74d811f1b14c,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000083,products,d64615580eb89e5d9a6ae0e37135a5fe,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000084,products,bfb85a2851757334da980ac9893a6261,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000085,products,60d1e2123927bc621354b0ab11cc8fd5,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000086,products,73c5d3186138770b5ae53055adf10ad9,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000087,products,a2d0e33d71561d8116565565a6f68578,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000088,products,0ae10ca52e6cb8745e17c11e7c43907c,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000089,products,1f5542855786adc0116f56cfd6f9f830,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000090,products,05cf9ac595f28386ee763c98cbc2bad0,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000091,products,6868e3f08c6acd37b48c785aedddfdb7,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000092,products,86047e935e01608082bdae92e41a11db,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000093,products,08a59a7c557b1b8d49e5029a337d83fd,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000094,products,d6bcc9649c52a826c656563ffb87a036,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000095,products,2f282449dadb2e59ff2afcde0bd9f393,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000096,products,d7b39598905ba8e791fe3f1f376d59f9,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000097,products,519693b7e29749ed7b6ad60cb07b9400,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000098,products,0ed27993e016d4546e2038bfd75b812c,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000099,products,4257f45f6ea58aa46885ed7ef723b6c0,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000100,products,bb69b35babb38529a803d3f77d1e7454,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000101,products,242a6abd32d7630b48ef5c0a1bf527eb,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000102,products,45a15b38cc3c0514717a1de673c6193c,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000103,products,fcde1899043318107d8f0ae043f69bc3,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000104,products,ed000a9f9f04376551e24de254464c9e,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000105,products,dc9f66a56b89e4278d921898a861a29a,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000106,products,6627f494b45486e462e2bb460fcb18e5,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000107,products,9df852a6c839bc3202227666d70c7cae,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000108,products,74ba0cd1f694e0751c7240443e5a038b,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000109,products,17b9f231d057710012fe28e5a1ac5186,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000110,products,9b6459fd1853c7e4422ff0bdd8184cb3,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000111,products,46255a421f244cd985f138a63d77d09c,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000112,products,f58e45b16a42a325c144eb2c46a2bc57,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000113,products,71225f49be70df4297892f6a5fa62171,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000114,products,62fde58e97724f8b7519f3789eefa33f,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000115,products,db1d1a4569fdbae28a0d3340d907f7af,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000116,products,194163a8a65a48a8c95623c399a9d4a7,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000117,products,cae7a908351ea0b7acb0086a51f6f565,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000118,products,31dbb0d1815bdc83c93f4b3472fa7c4d,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000119,products,6d0af4d8b482cc38d72acafc37bdd8f1,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000120,products,6fd83eb3e0799b775e4f946bd66657c0,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000121,products,0103863bf3441460142ec23c74388e4c,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000122,products,7e005c651eec410691559257f9ef8f64,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000123,products,15f773b4fea5b2ab681b02620b0c3a95,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000124,products,b01cedfa96d891427058852f0625e9ee,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000125,products,9d09d82a6838777302175f209dcfc4ec,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000126,products,0082684bb4a60a862baaf7a60a5845ed,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000127,products,4f0aa1e91719362daf498003e6ad4177,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000128,products,3373d1ed7bf5f3187f110c0e9e40a02b,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000129,products,b20dff2518b593f3092fb7b3ba13588e,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000130,products,cf1c83c0097bce11c715b94f292769b5,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000131,products,8c7274c4e638e7f229007fe28aafc741,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000132,products,a8e59319e3c44b5af3a5412d713af5bb,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000133,products,0b2f52bff0f8a4536a315bbdc34d8398,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000134,products,19bdfd05824c29bf495c9f5408c26635,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000135,products,c321936f167cdd14866ac591eea36f38,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000136,products,1fde73e6b6d28627ff16e222b0044b10,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000137,products,00d62b338366db4c4aec8547ea8f928e,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000138,products,12ad6d9a5da40908f6741145e1a93443,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000139,products,14086fd4907ab4135efce70c2cd3c013,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000140,products,817a68e75e8fc94fa28915d8169d67bf,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000141,products,50f39d42ee3c1155a39f330b0b53c735,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000142,products,b5d80a1b72c94ff284760dabb4fb776b,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000143,products,82758517d6c9cc65c509781f1e14e9f2,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000144,products,c4d92c32b2e02363d3f087c7156a523c,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000145,products,ea11e700a343582ad56e4c70e966cb36,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000146,products,9820e04e332fc450d6fd975befc1bc28,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000147,products,96cadd6d137bc9726fe1fae279d48631,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000148,products,e275b12a1775bcc17af5524af5ba80b4,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000149,products,ad113e2e3b77e66ef6ecfd7386cd13ac,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000150,products,ea8062a20ca055f459f3a99eccdec4b5,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000151,products,a8cb589d0aa5e6308a8fcf133ecca711,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000152,products,5d923ead886c44b86845f69e50520c3e,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000153,products,5455dbe20e64b08413e0f2c451e31ab9,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000154,products,41f1e5a38185a9ae6090a552b712ba43,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000155,products,f9b1795281ce51b1cf39ef6d101ae8ab,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000156,products,6727051471a0fc4a0e7737b57bff2549,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000157,products,06ddfdf210c7e0259854ee543215088d,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000158,products,270e70a55f9a0917f86b37cb32afcddd,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000159,products,e891d4a9622cae3b9fc2ec558bda155b,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000160,products,e76828e87d341935c7d4e9f26420cda0,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000161,products,e948cf75e6b64307f7f76a49eaa9fc2f,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000162,products,83f86eca5473b6d1c7d566223592908d,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000163,products,541bc0bf3c3255ee2d44f3863336095e,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000164,products,beec9bc2305d3372fa3b3133ba3fd644,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000165,products,7285e977b36a2243203636b240772c5e,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000166,products,17823ffd2de8234f0e885a71109613a4,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000167,products,c230b471b7e21ff9060e68ee154afd70,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000168,products,fe34503c6bccf918db601aaafd4a975a,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000169,products,0c877471e35049402bca235e06cb8063,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000170,products,1574ed2c73e4465c572f68dd77528203,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000171,products,d2eb4e94aeb255a953cbd8b97361a848,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000172,products,8ef13bdd5d6da4bc50df1aaa486bf922,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000173,products,5a670fea12f6946f0dcb3fbb9728645d,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000174,products,4ba237d0c64f22e4d22ec19af9cfd1f4,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000175,products,11f683ded5ddeecdad0b81b3124c3395,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000176,products,bed164d9d628cf0593003389c535c6e0,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000177,products,3d2d7eac865e47ff3939ea01aa56fb96,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000178,products,5f5ee6e720308ce93007ce17c0835883,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000179,products,67c4868694e75a87d7d0417c14fc26a3,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000180,products,2aa23c51528b71a1c9f2ce72f4fc9ad8,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000181,products,f52a0f70e54976873a4a7402349c6105,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000182,products,b67444235c5d1da1b9e136f66fdf3fd0,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000183,products,ae4c65e3aee93bc068c671453b8aaea4,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000184,products,a14aea6067b93158e956612c50b74cfa,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000185,products,9246752373bd625f47da5e3d8b41b1dc,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000186,products,b44922681ddcd1565a9d62932f20dcfe,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000187,products,2221e4ebc496addaa386a27a6a19e9b2,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000188,products,1b1654fea0a8269f9ba9a1e1258edb61,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000189,products,c31d2c7898c24ea73ab60e0660fd693f,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000190,products,7899001d8d8933d11d0f18ec5943f79e,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000191,products,1631507f13bd83d2f01e4fea424c852b,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000192,products,e43443a05db61acfccaca5876b804ba7,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000193,products,e20be15ef3888b958c8a76a2f0edfc25,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000194,products,0b7fb806fe0194cc7eb473329c680e34,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000195,products,44d53f1240d6332232e4393c06500475,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000196,products,91fd85f0ce4e46aba09a5777469f4127,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000197,products,8a26f391ab8b209f67d87dd358f6f004,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000198,products,e952feb7c657aae141c56f208088d511,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000199,products,1b930f20f389f3e3d057b9e3e85ca83d,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000200,products,837f3d09b625825bd84bfccb1f51d8be,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000201,products,76d1a1a9d21ab677a61c3ae34b1b352f,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000202,products,3bc5164bc7f4be77002d6651da65c98c,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000203,products,e6d256dd10cfa8e1f36c0423d2b3adff,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000204,products,8d2ed4fec68ea93ec092cbab0e1a92b5,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000205,products,dc265762419b1b4a46eb0a242e713684,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000206,products,882ae61d3259507f5c3ce5313f433651,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000207,products,5066fb9bf2b3db42c59f2f7732387249,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000208,products,51189083f547bae6df07c55c7b997001,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000209,products,f59062775ff63deba00e8b425f127e35,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000210,products,704a6d9f35e39b53c509c886045329ef,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000211,products,ef60a683caacd212b1cc7b356283c2de,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000212,products,0b3f73dba78abf4576c187092dc5dc81,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000213,products,2873da054c3a30189c5aac7b87d3b6e9,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000214,products,9e61de7e3ef7e99896060d76e48df65d,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000215,products,f92119d44c137a84ea866dc12df68407,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000216,products,75f54c6aa3a4ccb9ab44fae693c21418,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000217,products,28b04f8634b7c9c6e3a41fbd0271e295,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
